"Permanent Location Code Number","District / Taluk / Village / Town / Ward","","Total number of House holds","Total Population","Sex            Ratio","Sex Ratio            0-6 age group","Literacy Rates (7+)","Work Participation Rate","Population"
"","","","","","","","","","Scheduled Castes"
"","","Female","","Person","","","Person","Male","Male"
"1","2","17","3","4","7","8","9","12","14"
"","","","","","","","","",""
"02040000","Byrapura","0","98","560","898","1,167","73.7","55.3","40"
"02040100","Channasandra","0","32","145","1,101","1,333","70.2","60.9","44"
"02040200","Kamakshipura","0","111","575","930","1,105","48.7","59.4","101"
"02040300","Seeresandra","0","99","609","984","955","70.2","58.6","172"
"02040400","Byatha","0","181","913","959","1,020","72.7","61.8","155"
"02040500","Kakolu","0","251","1,224","1,040","1,133","74.7","64.5","182"
"02040600","Budumanahalli","0","92","497","897","1,000","58.5","57.3","68"
"02040700","Shanubhoganahalli","0","161","732","942","1,053","67.7","61.0","151"
"02040800","Chokkanahalli","0","62","333","936","1,200","55.3","53.5","14"
"02040900","Sreeramanahalli","3","156","675","923","838","72.7","59.5","106"
"02041000","Sadenahalli","0","251","1,163","916","862","63.9","58.0","175"
"02041100","Adiganahalli","0","234","1,111","946","857","77.8","59.9","74"
"02041200","Rajanukunte","6","427","1,800","919","912","80.3","62.0","72"
"02041300","Ittagallpura","0","78","415","766","481","73.6","60.9","61"
"02041400","Dibburu","0","126","607","891","784","77.1","60.7","57"
"02041500","Koluvarayanahalli","0","72","383","887","857","76.7","55.7","45"
"02041600","Seethakempanahalli","0","126","740","827","750","66.3","68.6","196"
"02041700","Hesaraghatta Grass Farm","0","7","25","786","0","79.2","64.3","10"
"02041800","Dasenahalli","37","277","1,186","980","1,279","72.2","56.4","76"
"02041900","Kalenahalli","0","37","204","838","429","78.3","61.3","2"
"02042000","Mathkur","0","239","1,177","972","831","70.7","57.5","275"
"02042100","Linganahalli","5","116","574","828","465","70.1","57.6","100"
"02042200","Muthagada Halli","0","53","279","938","1,200","65.9","59.7","39"
"02042300","Madappanahalli","15","163","799","1,008","1,100","63.6","70.9","141"
"02042400","Krishnarajapura","0","12","60","500","1,000","66.7","75.0","0"
"02042500","Mylappanahalli","0","163","804","937","800","63.4","60.7","89"
"02042600","Lingarajapura","0","28","125","812","333","58.4","55.1","7"
"02042700","Shivakote","15","359","1,698","963","981","72.5","55.3","120"
"02042800","Ivar Kandapura","17","434","2,048","898","927","80.6","48.2","474"
"02042900","Hesaraghatta","84","1,626","7,186","972","1,142","79.2","59.4","252"
"02043000","Guddadahalli","2","136","567","935","1,609","58.0","58.0","141"
"02043100","Bilijaji","47","162","818","995","1,148","69.8","57.6","63"
"02043200","Kodagi Thirumalapura","2","324","1,615","977","1,036","66.9","59.0","38"
"02043300","Thammarasanahalli","0","70","366","1,022","1,300","72.2","49.7","62"
"02043400","Madhugirihalli","0","55","309","756","722","69.1","62.5","0"
"02043500","Mavallipura","2","152","773","942","1,019","70.7","59.3","108"
"02043600","Bylakere","1","330","1,595","912","968","64.6","59.5","188"
"02043700","Kondashetti Halli","0","65","356","935","952","67.3","59.8","83"
"02043800","Lingarajasagara","","Un-inhabited","","","","","",""
"02043900","Kasagattapura","4","437","2,161","884","769","72.9","51.3","2"
"02044000","Hurali Chikkanahalli","12","323","1,451","914","752","79.4","52.9","113"
"02044100","Tharabana Halli","65","260","1,151","964","1,302","72.6","60.9","89"
"02044200","Sasiveghatta","0","117","555","961","1,080","71.4","65.7","24"
"02044300","Soladevanahalli","1","252","1,179","952","1,015","84.1","56.5","274"
"02044400","Kumbarahalli","0","260","1,260","997","1,014","76.7","50.6","185"
"02044500","Kempapura","0","94","466","902","682","75.3","47.3","51"
"02044600","Kalathammanahalli","0","93","468","895","897","68.8","58.3","111"
"02044700","Guniagrahara","0","200","913","914","1,175","72.7","61.6","161"
"02044800","Tarahunase","0","330","1,714","968","797","64.5","62.1","243"
"02044900","Kuduragere","42","156","737","981","964","67.8","63.4","110"
"02045000","Gadenahalli","10","97","479","774","667","63.1","58.5","33"
"02045100","Tharabanahalli","3","182","864","1,000","942","71.0","59.0","164"
"02045200","Navarathna Agrahara","183","176","941","1,019","1,083","56.9","58.4","179"
"02045300","Meenakunte","2","345","1,434","732","990","72.4","68.1","221"
"02045400","Channahalli","489","186","977","1,092","958","41.8","59.7","20"
"02045500","Byanahalli","149","78","378","890","1,105","40.2","52.0","4"
"02045600","Papanahalli","0","4","17","1,429","0","47.1","85.7","1"
"02045700","Thimmasandra","0","138","758","900","968","62.4","62.4","130"
"02045800","Nellukunte","0","39","399","489","1,143","94.0","13.4","14"
"02045900","Bettahalasur","3","630","2,693","1,029","1,142","74.3","58.3","170"
"02046000","Chokkanahalli","5","46","179","884","1,091","14.1","58.9","49"
"02046100","Chikkajala","38","571","2,432","955","1,071","72.1","60.9","462"
"02046200","Maranayakana Halli","0","76","331","959","1,000","57.0","62.7","98"
"02046300","Doddajala","53","263","1,362","968","1,032","71.7","63.4","171"
"02046400","Settigere","8","199","879","1,039","1,054","48.7","63.6","193"
"02046500","Muthugada Halli","0","57","299","846","632","79.9","60.5","4"
"02046600","Begur","3","72","349","897","600","75.4","58.2","1"
"02046700","Mylanahalli","115","387","1,927","948","967","66.1","61.1","230"
"02046800","Chikkanahalli","28","49","226","1,055","1,125","52.6","60.0","51"
"02046900","Boilahalli","27","115","544","985","904","48.3","60.9","59"
"02047000","Doddajala Amanikere","","Un-inhabited","","","","","",""
"02047100","Meesaganahalli","0","65","368","840","1,000","73.5","69.5","6"
"02047200","Huttanahalli","18","529","2,455","893","814","74.3","63.1","340"
"02047300","Hosahalli","17","246","1,217","908","1,131","72.9","63.9","65"
"02047400","Bilmaranahalli","123","85","437","1,101","1,083","61.9","59.6","47"
"02047500","Sonnappanahalli","73","655","3,028","887","961","64.2","61.8","569"
"02047600","Kattigenahalli","94","1,064","4,628","912","915","76.8","55.3","363"
"02047700","Sathnur","1","237","1,221","932","918","77.0","61.6","120"
"02047800","Byappanahalli","0","106","586","966","765","58.3","64.8","180"
"02047900","Chagalahatti","3","135","640","1,000","917","73.2","57.8","12"
"02048000","Bagalur","7","1,378","7,519","952","1,044","70.4","58.0","627"
"02048100","Huvinayakanahalli","0","122","626","1,052","1,273","68.4","59.7","85"
"02048200","Bandi Kodige Halli","0","245","1,129","940","624","64.4","57.0","205"
"02048300","Bandikodegehalli Amanikere","","Un-inhabited","","","","","",""
"02048400","Bandi Kodigehalli Palya","110","94","470","926","1,393","53.6","63.1","37"
"02048500","Hunachur","23","119","628","897","755","61.3","56.8","135"
"02048600","Dummanur","0","1","1","0","0","100.0","100.0","0"
"02048700","Singahalli","0","135","737","904","1,290","72.7","61.2","86"
"02048800","Gollahalli","0","16","85","889","714","65.8","60.0","30"
"02048900","Arebinnamangala","0","130","667","853","717","69.4","61.1","153"
"02049000","Mahadevakodigehalli","0","225","1,299","840","914","68.4","57.5","109"
"02049100","Manchappanahosahalli","2","229","1,243","915","929","64.3","65.9","286"
